"Laps","Time","Cumulative Time","Distance
mi","Avg Pace
min/mi","Avg GAP
min/mi","Avg HR
bpm","Max HR
bpm","Total Ascent
ft","Total Descent
ft","Avg Power
W","Avg W/kg","Max Power
W","Max W/kg","Avg Run Cadence
spm","Avg Ground Contact Time
ms","Avg GCT Balance
%","Avg Stride Length
m","Avg Vertical Oscillation
cm","Avg Vertical Ratio
%","Calories
C","Avg Temperature","Best Pace
min/mi","Max Run Cadence
spm","Moving Time","Avg Moving Pace
min/mi","Avg Step Speed Loss
cm/s","Avg Step Speed Loss Percent
%","Beer Bottles"
"1","7:48.1","7:48.1","1.00","7:48","7:49","142","154","20","7","379","4.77","444","5.59","171","250","--","1.19","9.2","7.7","115","77.0","7:23","181","7:48.1","7:48","--","--","--"
"2","8:06.9","15:55","1.00","8:07","8:03","154","160","33","30","385","4.85","502","6.32","168","261","--","1.18","9.5","8.0","125","73.4","7:08","178","8:06.9","8:07","--","--","0.85"
"3","8:00.6","23:56","1.00","8:01","8:00","144","147","3","0","407","5.13","461","5.81","168","259","--","1.20","9.5","7.9","114","73.4","7:07","176","8:00.6","8:01","--","--","0.924"
"4","7:24.5","31:20","1.00","7:25","7:24","147","153","3","3","401","5.05","457","5.76","171","248","--","1.27","9.5","7.5","108","73.4","6:27","184","7:24","7:24","--","--","0.843"
"5","8:15.8","39:36","1.00","8:16","8:13","153","161","3","3","362","4.56","430","5.42","163","262","--","1.19","9.6","8.0","122","71.6","7:28","174","8:10","8:10","--","--","0.806"
"6","7:58.1","47:34","1.00","7:58","8:02","153","159","3","3","404","5.09","435","5.48","169","259","--","1.19","9.4","7.9","119","73.4","7:18","174","7:58","7:58","--","--","0.902"
"7","7:40.9","55:15","1.00","7:41","7:38","162","173","3","3","389","4.90","444","5.59","170","252","--","1.24","9.6","7.7","122","75.2","6:48","176","7:40.9","7:41","--","--","0.872"
"8","8:00.7","1:03:16","1.00","8:01","8:01","159","169","3","10","369","4.65","432","5.44","163","257","--","1.22","9.6","7.8","122","73.4","7:21","175","7:53","7:53","--","--","0.909"
"9","8:05.4","1:11:21","1.00","8:05","8:01","166","169","7","7","397","5.00","441","5.56","165","256","--","1.21","9.5","7.8","129","73.4","7:37","174","7:58","7:58","--","--","0.902"
"10","7:46.0","1:19:07","1.00","7:46","7:46","174","180","7","3","383","4.83","433","5.45","169","254","--","1.23","9.5","7.8","129","75.2","7:12","174","7:46.0","7:46","--","--","0.946"
"11","8:10.9","1:27:18","1.00","8:11","8:10","174","182","0","3","363","4.57","430","5.42","163","258","--","1.20","9.5","7.9","133","75.2","6:57","176","7:59","7:59","--","--","0.953"
"12","7:37.3","1:34:55","1.00","7:37","7:37","167","172","3","0","423","5.33","449","5.66","171","251","--","1.24","9.5","7.7","121","75.2","7:25","174","7:37.3","7:37","--","--","0.983"
"13","7:28.2","1:42:24","1.00","7:28","7:27","171","179","0","3","396","4.99","455","5.73","167","245","--","1.29","9.6","7.4","122","77.0","6:44","183","7:22","7:22","--","--","0.894"
"14","7:50.4","1:50:14","1.00","7:50","7:44","179","193","33","13","389","4.90","492","6.20","164","254","--","1.24","9.6","7.7","135","77.0","7:19","173","7:43","7:43","--","--","0.894"
"15","7:44.0","1:57:58","1.00","7:44","7:48","184","193","10","30","401","5.05","460","5.80","168","256","--","1.24","9.7","7.8","135","77.0","7:25","172","7:44","7:44","--","--","0.998"
"16","2:51.0","2:00:49","0.39","7:16","7:17","188","191","0","3","422","5.32","451","5.68","171","246","--","1.30","9.7","7.4","51","77.0","6:52","179","2:50","7:14","--","--","0.998"
"Summary","2:00:49","2:00:49","15.39","7:51","7:50","163","193","138","125","390","4.91","502","6.32","167","255","--","1.22","9.5","7.8","1,901","74.7","6:27","184","2:00:01","7:48","--","--","--"